(a1008,r1572)
(a89,r137)
(a325,r765)
(a893,r1422)
(a101,r2457)
(a225,r1538)
(a1023,r1526)
(a679,r1176)
(a1101,r1882)
(a9,r9)
(a17,r150)
(a4,r132)
(a342,r658)
(a20,r152)
(a126,r242)
(a77,r840)
(a1128,r1991)
(a0,r20)
(a41,r71)
(a437,r850)
(a784,r1215)
(a83,r677)
(a20,r992)
(a426,r806)
(a0,r150)
(a223,r2334)
(a11,r1028)
(a77,r1044)
(a138,r262)
(a1210,r2365)
(a19,r860)
(a29,r52)
(a304,r1047)
(a0,r24)
(a400,r808)
(a1,r811)
(a603,r923)
(a19,r2078)
(a124,r238)
(a61,r415)
(a42,r80)
(a1203,r2359)
(a60,r172)
(a275,r816)
(a842,r1298)
(a20,r27)
(a219,r442)
(a945,r1471)
(a492,r1022)
(a119,r2167)
(a499,r1023)
(a998,r1554)
(a1207,r500)
(a204,r344)
(a1226,r2417)
(a552,r1056)
(a1081,r1868)
(a168,r1057)
(a5,r780)
(a1115,r1923)
(a1028,r1682)
(a147,r269)
(a561,r1121)
(a3,r1965)
(a1195,r2323)
(a1087,r1896)
(a71,r817)
(a97,r148)
(a424,r804)
(a827,r1354)
(a98,r155)
(a781,r1200)
(a1126,r1986)
(a100,r256)
(a977,r1476)
(a33,r46)
(a28,r778)
(a1090,r1848)
(a1205,r2349)
(a129,r882)
(a2,r368)
(a56,r0)
(a1,r2455)
(a111,r191)
(a1034,r1694)
(a1046,r1704)
(a4,r172)
(a87,r136)
(a305,r1750)
(a411,r778)
(a271,r437)
(a908,r1381)
(a9,r141)
(a85,r135)
(a1111,r1917)
(a25,r288)
(a101,r1765)
(a3,r483)
(a1029,r1683)
(a1,r168)
(a339,r1982)
(a219,r33)
(a828,r1357)
(a453,r878)
(a780,r1199)
(a25,r43)
(a162,r284)
(a405,r774)
(a338,r653)
(a1,r140)
(a1022,r1581)
(a336,r1980)
(a110,r210)
(a264,r129)
(a1089,r1898)
(a456,r886)
(a282,r466)
(a188,r323)
(a301,r480)
(a446,r1175)
(a51,r98)
(a194,r335)
(a0,r140)
(a1,r141)
(a17,r141)
(a1055,r1762)
(a77,r1698)
(a142,r264)
(a67,r789)
(a422,r114)
(a112,r453)
(a549,r903)
(a423,r803)
(a221,r114)
(a1105,r1903)
(a333,r1673)
(a8,r168)
(a21,r129)
(a20,r1503)
(a1131,r2027)
(a24,r187)
(a271,r2451)
(a422,r46)
(a16,r17)
(a743,r1264)
(a72,r265)
(a421,r866)
(a128,r244)
(a141,r116)
(a863,r1299)
(a73,r127)
(a1045,r1703)
(a455,r885)
(a490,r1005)
(a758,r1368)
(a1237,r2437)
(a401,r983)
(a309,r2133)
(a422,r1925)
(a219,r261)
(a403,r972)
(a1018,r141)
(a57,r105)
(a20,r776)
(a218,r368)
(a761,r1262)
(a1134,r2074)
(a622,r1077)
(a397,r738)
(a202,r701)
(a1110,r1910)
(a463,r971)
(a25,r766)
(a70,r813)
(a17,r656)
(a981,r1482)
(a9,r2)
(a12,r883)
(a20,r142)
(a208,r352)
(a67,r119)
(a0,r362)
(a425,r805)
(a227,r385)
(a457,r887)
(a60,r151)
(a904,r1374)
(a1017,r19)
(a90,r138)
(a93,r142)
(a464,r969)
(a19,r1622)
(a92,r139)
(a74,r1035)
(a25,r372)
(a417,r783)
(a823,r1349)
(a418,r434)
(a123,r233)
(a1091,r1849)
(a106,r1979)
(a485,r1014)
(a63,r981)
(a117,r2320)
(a218,r2353)
(a102,r2456)
(a783,r1201)
(a21,r261)
(a407,r776)
(a56,r122)
(a302,r481)
(a220,r2339)
(a60,r438)
(a1,r23)
(a1,r759)
(a72,r126)
(a0,r19)
(a46,r88)
(a221,r367)
(a481,r255)
(a419,r791)
(a992,r1497)
(a19,r172)
(a1080,r1818)
(a37,r60)
(a106,r648)
(a312,r845)
(a8,r10)
(a106,r165)
(a39,r66)
(a311,r1629)
(a1166,r2127)
(a50,r97)
(a339,r654)
(a17,r19)
(a65,r1926)
(a19,r28)
(a429,r839)
(a190,r339)
(a1094,r1901)
(a365,r723)
(a9,r168)
(a6,r43)
(a248,r424)
(a32,r2071)
(a48,r94)
(a95,r152)
(a129,r246)
(a946,r1473)
(a294,r476)
(a1227,r2419)
(a402,r769)
(a951,r1440)
(a112,r1835)
(a420,r859)
(a62,r112)
(a26,r44)
(a1012,r271)
(a70,r33)
(a100,r1947)
(a925,r1375)
(a477,r252)
(a3,r777)
(a338,r794)
(a60,r1924)
(a27,r112)
(a468,r20)
(a5,r810)
(a65,r271)
(a949,r1436)
(a605,r1089)
(a62,r2356)
(a505,r1030)
(a976,r1494)
(a1023,r1679)
(a91,r140)
(a166,r296)
(a65,r116)
(a841,r1294)
(a260,r2363)
(a94,r143)
(a312,r1757)
(a1,r128)
(a143,r2449)
(a1048,r1712)
(a20,r761)
(a62,r1521)
(a92,r140)
(a1117,r1932)
(a335,r1981)
(a60,r33)
(a4,r33)
(a1083,r1870)
(a94,r105)
(a1127,r1988)
(a1,r405)
(a20,r1798)
(a4,r129)
(a118,r220)
(a1102,r1883)
(a1060,r1585)
(a18,r987)
(a143,r1929)
(a4,r151)
(a318,r565)
(a32,r61)
(a402,r808)
(a549,r1123)
(a522,r895)
(a287,r465)
(a415,r781)
(a226,r2357)
(a311,r2188)
(a4,r31)
(a303,r1035)
(a441,r1105)
(a292,r469)
(a62,r2333)
(a134,r259)
(a67,r273)
(a116,r2160)
(a215,r360)
(a12,r107)
(a3,r5)
(a997,r904)
(a1229,r793)
(a17,r122)
(a1044,r1701)
(a69,r121)
(a1082,r1869)
(a502,r1025)
(a4,r1619)
(a907,r1378)
(a471,r2361)
(a58,r978)
(a1084,r1879)
(a12,r163)
(a70,r1748)
(a321,r601)
(a4,r1989)
(a1075,r1847)
(a405,r1512)
(a1181,r2136)
(a31,r211)
(a551,r907)
(a465,r973)
(a70,r407)
(a403,r785)
(a466,r974)
(a19,r2329)
(a1148,r2045)
(a454,r881)
(a57,r31)
(a1124,r2364)
(a101,r279)
(a2,r3)
(a15,r15)
(a25,r2422)
(a112,r180)
(a121,r215)
(a674,r1282)
(a676,r1141)
(a1015,r743)
(a486,r1004)
(a997,r2210)
(a677,r1170)
(a116,r2091)
(a304,r247)
(a78,r485)
(a70,r1747)
(a894,r1423)
(a1086,r1846)
(a3,r809)
(a1122,r1972)
(a1010,r1561)
(a12,r13)
(a216,r10)
(a218,r2328)
(a217,r369)
(a221,r1559)
(a822,r1346)
(a115,r209)
(a159,r1040)
(a1116,r1930)
(a498,r1017)
(a279,r2434)
(a308,r271)
(a325,r33)
(a40,r86)
(a3,r261)
(a52,r100)
(a80,r131)
(a467,r975)
(a1104,r1902)
(a337,r652)
(a470,r2360)
(a17,r22)
